file,experiment_id,mbti_a,mbti_b,final_score_a,final_score_b,total_rounds,use_rag
experiment_results_20260522_074355,6d0669b7-0220-49e7-b6f9-7b9950cf5e4b,INTP,ENFP,100,92,50,True
experiment_results_20260522_075321,41de9321-99bd-41d0-816e-0b1576d4d780,INTP,ENFJ,100,92,50,True
experiment_results_20260522_080333,1e3258f8-ad00-4e49-859e-90e1af075f39,INTP,INFJ,97,101,50,True
experiment_results_20260522_081347,74ab5722-55d3-4a88-8579-11b61955b16a,INTP,INFP,100,92,50,True
experiment_results_20260522_082329,8ac74dc9-00f3-40e0-ab6c-8a5bc2f04d01,INTP,ESTJ,96,96,50,True
experiment_results_20260522_083432,2a011dd5-6af5-469e-8b60-7b90a0974e5b,INTP,ESTP,56,64,50,True
experiment_results_20260522_084529,7269bfad-6702-4915-b767-da830e381c9f,INTP,ISTJ,73,77,50,True
experiment_results_20260522_085559,0a1eb24e-62a5-406f-aae3-811bb3ccc65e,INTP,ISTP,96,96,50,True
experiment_results_20260522_090650,ec08e318-7456-49d0-8ccb-06ce17a8a2e5,INTP,ESFP,77,81,50,True
experiment_results_20260522_091634,57a4f24c-a0dd-4860-acd0-2334bb84e528,INTP,ESFJ,98,98,50,True
experiment_results_20260522_092629,8e580b2b-c2c2-4c7f-9a7d-1b198aa7efb9,INTP,ISFJ,100,100,50,True
experiment_results_20260522_093650,6cf69aaa-01d8-4ab1-a583-334f4d46ca22,INTP,ISFP,100,92,50,True
experiment_results_20260522_094907,e076beae-6f80-4a4a-aadd-f0484352cc41,ENTP,INTJ,54,38,50,True
experiment_results_20260522_100106,6961d616-f989-4fc2-b8aa-734419ed479d,ENTP,ENTJ,54,54,50,True
experiment_results_20260522_101356,a0c502fe-2a94-485d-8c00-edf837b23b4a,ENTP,INTP,4,28,50,True
experiment_results_20260522_102713,0dc9c962-c454-4db8-8729-38d6d7baed5d,ENTP,ENFP,71,19,50,True
experiment_results_20260522_103913,8a353875-dc87-4a83-98ef-be6e229476cd,ENTP,ENFJ,62,30,50,True
experiment_results_20260522_105146,b20be95e-84e7-49a8-a9f9-0ad0ce987f33,ENTP,INFJ,85,33,50,True
experiment_results_20260522_110424,0a744123-3931-4849-8d2c-54db58ecb684,ENTP,INFP,85,25,50,True
experiment_results_20260522_111703,1be91c83-263e-4252-98fb-b9d9ddfbcbd1,ENTP,ESTJ,1,37,50,True
experiment_results_20260522_112940,4e8d2724-3d3e-4362-90dc-9479a65c7fe2,ENTP,ESTP,27,47,50,True
experiment_results_20260522_114240,0bb57bc5-6495-47dd-882c-f2a28a5f96f6,ENTP,ISTJ,34,50,50,True
experiment_results_20260522_115645,ac852c66-94ac-4742-b780-e649a9a7572e,ENTP,ISTP,19,55,50,True
experiment_results_20260522_121021,a3814665-2e25-430c-88e8-b2cdb0c4939a,ENTP,ESFP,46,46,50,True
experiment_results_20260522_122252,408b2ba9-960c-4c2f-9ba4-dbc2b9ebf4dd,ENTP,ESFJ,52,36,50,True
experiment_results_20260522_123419,430413e8-b7b3-4d6b-94c5-a4d6acbb061a,ENTP,ISFJ,52,36,50,True
experiment_results_20260522_124510,a4f4efe9-33c8-4eb4-b088-ec9d3eda3a6c,ENTP,ISFP,79,43,50,True
experiment_results_20260522_125524,0093f996-3e4b-4ff7-a319-680b57e5f105,ENFP,INTJ,95,99,50,True
experiment_results_20260522_130612,3d94c769-787a-46a2-b377-211e08d36b54,ENFP,ENTJ,80,96,50,True
experiment_results_20260522_131641,f43ef626-2d33-46bf-b7fd-ece1c93fd6fe,ENFP,INTP,97,101,50,True
experiment_results_20260522_132808,6b7b1e29-d820-4408-ac67-3cafad9c1578,ENFP,ENTP,23,83,50,True
experiment_results_20260522_133748,c16b39a2-e757-4217-afc0-049335122b79,ENFP,ENFJ,100,100,50,True
experiment_results_20260522_134742,13335b2c-37da-4309-aa5a-8e662ce496f6,ENFP,INFJ,100,100,50,True
experiment_results_20260522_135835,e70f152f-9ce9-4da8-98da-8fd5ceffc74c,ENFP,INFP,97,101,50,True
experiment_results_20260522_140900,a128a577-4267-40b9-85f5-1c7e5eb87a78,ENFP,ESTJ,100,100,50,True
experiment_results_20260522_142146,54f7f9b0-1d07-4782-bb35-1076fe61078e,ENFP,ESTP,18,58,50,True
experiment_results_20260522_143222,628e0a0f-5ba3-48f3-9fc6-b877964ff1b7,ENFP,ISTJ,100,100,50,True
experiment_results_20260522_144344,43ca4288-4a54-44c5-bf45-8719715c1891,ENFP,ISTP,84,100,50,True
experiment_results_20260522_145630,ebdc225e-08f5-4e36-b1fd-de93808d5929,ENFP,ESFP,74,90,50,True
experiment_results_20260522_150835,11d1de35-8c9f-4702-8241-8064d5c18e83,ENFP,ESFJ,101,97,50,True
experiment_results_20260522_151952,e7cfdefc-4109-48e8-a5f7-1a53b010ebe8,ENFP,ISFJ,100,100,50,True
experiment_results_20260522_153130,0374cc03-e708-4087-a351-73045e293626,ENFP,ISFP,100,100,50,True
experiment_results_20260522_154414,9722607e-33af-468e-ba61-199332de34ad,ENFJ,INTJ,82,98,50,True
experiment_results_20260522_155559,18c4fe86-9b73-40d7-a2f8-64b39d4dfdf0,ENFJ,ENTJ,80,104,50,True
experiment_results_20260522_160842,2e3a2004-7c82-46cf-8364-0c1611fcda51,ENFJ,INTP,94,102,50,True
experiment_results_20260522_162337,bf4392aa-e49c-41a1-9472-e8a15bc88992,ENFJ,ENTP,22,86,50,True
experiment_results_20260522_163536,877bc2dc-825e-4ff1-845d-dcecc254442e,ENFJ,ENFP,97,101,50,True
experiment_results_20260522_164632,05ecc829-cafa-450f-bcdb-5e90b70d01f2,ENFJ,INFJ,100,100,50,True
experiment_results_20260522_165712,b054f681-e5cc-4042-a4eb-b61d418ffe8a,ENFJ,INFP,100,100,50,True
experiment_results_20260522_170946,568c64b7-c4b5-4c86-8eb7-4a18705eff0f,ENFJ,ESTJ,67,87,50,True
experiment_results_20260522_172305,a7075fd0-d651-42ae-9765-f15621d7f268,ENFJ,ESTP,9,69,50,True
experiment_results_20260522_173423,5908aba9-b422-417f-a2f1-2fc4cd503752,ENFJ,ISTJ,92,100,50,True
experiment_results_20260522_174645,69dc583b-154b-4dd6-b2f2-78384d168071,ENFJ,ISTP,82,98,50,True
experiment_results_20260522_175802,25448c11-491a-47de-9fc5-89d5b7b38c7b,ENFJ,ESFP,98,98,50,True
experiment_results_20260522_180902,a97ddb40-cf2e-493e-8511-168bff560a6f,ENFJ,ESFJ,101,97,50,True
experiment_results_20260522_181900,193f273d-4b8f-4e95-a1ef-198f3703f97a,ENFJ,ISFJ,100,100,50,True
experiment_results_20260522_182909,e55cac29-085f-4b25-9f51-b69b9dd65207,ENFJ,ISFP,97,101,50,True
experiment_results_20260522_183958,60ada299-83f0-4db3-b994-1fd8cb73d793,INFJ,INTJ,83,103,50,True
experiment_results_20260522_185043,2da388e8-c6ad-4a78-9e5c-98395f8ad22f,INFJ,ENTJ,74,90,50,True
experiment_results_20260522_190202,ed3ad968-d40e-44c5-b151-c904f8b8bc7a,INFJ,INTP,92,100,50,True
experiment_results_20260522_191524,4d1147ad-bf1c-40e7-9ac5-5e2168c0d353,INFJ,ENTP,26,82,50,True
experiment_results_20260522_192545,4c6c8538-2d2a-49e3-8d91-0075ad544053,INFJ,ENFP,98,98,50,True
experiment_results_20260522_193523,68f81907-012a-414a-97ed-cb90b79a89bb,INFJ,ENFJ,100,100,50,True
experiment_results_20260522_194448,25735b36-ca1d-4e59-b3e9-49b5f7c9da2b,INFJ,INFP,100,100,50,True
experiment_results_20260522_195431,cbbe5e09-8df7-4588-b972-405bd5383212,INFJ,ESTJ,98,98,50,True
experiment_results_20260522_200606,159188fd-dc09-4446-b004-c5291cef79c0,INFJ,ESTP,41,61,50,True
experiment_results_20260522_201531,a69eac9f-1cfd-4374-88fa-78c5d0d0dcfb,INFJ,ISTJ,98,98,50,True
experiment_results_20260522_202541,7341c1b6-bdce-404f-85e1-d8d5df15e041,INFJ,ISTP,95,99,50,True
experiment_results_20260522_203605,7298f47d-df20-4ee2-9375-e6e0cbebede8,INFJ,ESFP,84,100,50,True
experiment_results_20260522_204629,d99e99b1-a530-4982-9069-10d576caca5e,INFJ,ESFJ,98,98,50,True
experiment_results_20260522_205608,e4e75887-b2fb-4d48-a3a9-606abfaa155f,INFJ,ISFJ,100,100,50,True
experiment_results_20260522_210603,c8084c6b-3771-490a-9e33-b4a9d3ab8b08,INFJ,ISFP,100,100,50,True
experiment_results_20260522_211716,8e662f9f-267d-4d37-aca3-17670e21717d,INFP,INTJ,97,101,50,True
experiment_results_20260522_213002,c1455a3d-df07-47df-9265-91c22cceaf53,INFP,ENTJ,74,98,50,True
experiment_results_20260522_214129,cbc71cc1-9e82-4766-a7ab-c649fc6e8b8a,INFP,INTP,100,100,50,True
experiment_results_20260522_215446,8a358b22-dc76-4969-a5ac-3968ce318a22,INFP,ENTP,31,83,50,True
experiment_results_20260522_220539,15e26c35-0927-418e-8291-d2c46174c41f,INFP,ENFP,100,100,50,True
experiment_results_20260522_221602,e87b1549-1b5a-403c-90a0-14f21f3dd85c,INFP,ENFJ,100,100,50,True
experiment_results_20260522_222616,d960e3e8-3b24-4677-9cc1-f6e6e7f43038,INFP,INFJ,100,100,50,True
experiment_results_20260522_223617,abc0411f-5475-4941-87b9-395be876770d,INFP,ESTJ,100,100,50,True
experiment_results_20260522_224909,62b7fee6-f763-4b9a-a28b-a0101cfc83e9,INFP,ESTP,28,52,50,True
experiment_results_20260522_230303,bea9e803-d452-4acf-a899-71650ccd2e95,INFP,ISTJ,2,26,50,True
experiment_results_20260522_231420,1a89b086-9c9d-41f5-95d1-3b526342efb0,INFP,ISTP,92,100,50,True
experiment_results_20260522_232620,0863b0ce-e04a-46b9-824d-7ba2544405aa,INFP,ESFP,65,85,50,True
experiment_results_20260522_233643,74c1038d-2838-4616-ae68-9c69fa96305b,INFP,ESFJ,100,100,50,True
experiment_results_20260522_234633,ad991212-613e-4b53-b140-f20f3426c380,INFP,ISFJ,100,100,50,True
experiment_results_20260522_235657,078dedee-3f10-45e6-9230-cde04b727e81,INFP,ISFP,99,95,50,True
experiment_results_20260523_000859,98d95c40-4c16-436b-b979-232ced811e07,ESTJ,INTJ,89,93,50,True
experiment_results_20260523_002213,f33e905b-71a9-450c-8665-2c49c4d8a2ae,ESTJ,ENTJ,22,14,50,True
experiment_results_20260523_003324,b29d8fa3-71a3-475a-8999-622a0ffea986,ESTJ,INTP,98,98,50,True
experiment_results_20260523_004643,041806ea-de65-467e-ae38-6621feeee6a6,ESTJ,ENTP,45,17,50,True
experiment_results_20260523_005715,e17fa563-92dc-4b02-8378-8bd6c269e10e,ESTJ,ENFP,100,100,50,True
experiment_results_20260523_010727,d83e2bd4-9216-4620-8e3f-d40e6eb83ec1,ESTJ,ENFJ,101,97,50,True
experiment_results_20260523_011654,196f669b-c2e7-4ec8-ad75-a2fda9683241,ESTJ,INFJ,100,100,50,True
experiment_results_20260523_012651,26ddfcc4-4e04-4232-9066-466eec955130,ESTJ,INFP,98,98,50,True
experiment_results_20260523_013735,551a2985-699f-4730-b9aa-2dc92f9ce317,ESTJ,ESTP,71,75,50,True
experiment_results_20260523_014644,784ac52e-d83b-4ece-b728-1d71fc665d42,ESTJ,ISTJ,100,100,50,True
experiment_results_20260523_015654,05030b04-2e6e-483a-902b-067064ef7040,ESTJ,ISTP,90,98,50,True
experiment_results_20260523_020716,5499a0b6-4d56-4d55-ae3d-37e80d6077d2,ESTJ,ESFP,92,100,50,True
experiment_results_20260523_021628,27a2f39f-9fab-41ce-9782-075877bb8d61,ESTJ,ESFJ,100,100,50,True
experiment_results_20260523_022629,f422936e-168e-4026-b194-ed175af09687,ESTJ,ISFJ,98,98,50,True
experiment_results_20260523_023533,8dace1cb-cb53-4e2b-ae2d-c4d6e31287f4,ESTJ,ISFP,101,97,50,True
experiment_results_20260523_024744,1a981ad0-2608-4251-a4cf-c97107cd5080,ESTP,INTJ,36,36,50,True
experiment_results_20260523_025925,061cfea9-03de-442c-9dd6-5822b554df02,ESTP,ENTJ,41,29,50,True
experiment_results_20260523_031144,6844dee5-e3fc-4321-a5b9-7ccd9ea20d20,ESTP,INTP,38,38,50,True
experiment_results_20260523_032318,7b845a42-a31e-4053-8d77-38fe8cc7ba05,ESTP,ENTP,44,44,50,True
experiment_results_20260523_033421,501ce5f1-499e-4015-aafe-1e297642c22a,ESTP,ENFP,74,10,50,True
experiment_results_20260523_034426,b22c7811-9528-4365-81e2-2791b4ad7340,ESTP,ENFJ,73,21,50,True
experiment_results_20260523_035512,c1043970-386d-40b2-9908-ae2dc3acf6fb,ESTP,INFJ,44,28,50,True
experiment_results_20260523_040636,de53e3de-a2ec-45c0-ba1c-eff13b15f6d9,ESTP,INFP,31,19,50,True
experiment_results_20260523_041708,6b0eee1f-5e8c-4309-a332-dfa8b8e287ce,ESTP,ESTJ,11,31,50,True
experiment_results_20260523_042656,1155cd09-a718-4df1-9932-0879b24832dc,ESTP,ISTJ,4,20,50,True
experiment_results_20260523_043658,3b2adacf-c1e8-4f5d-adb8-6541d345a1df,ESTP,ISTP,46,38,50,True
experiment_results_20260523_044653,7f435fcf-903c-4529-a9b7-caf99b8ff5f9,ESTP,ESFP,46,30,50,True
experiment_results_20260523_045654,9b7e853e-07c7-4527-be00-a36143ca4e58,ESTP,ESFJ,58,34,50,True
experiment_results_20260523_050657,e4449a74-31b3-4f74-8ee4-55eb3fd49bf4,ESTP,ISFJ,40,32,50,True
experiment_results_20260523_051632,c3384423-11e1-4034-97e0-3f120a77398a,ESTP,ISFP,56,48,50,True
experiment_results_20260523_052700,9f50f9f9-224a-4292-8328-518ac81ce90c,ISTJ,INTJ,17,5,50,True
experiment_results_20260523_053710,2f9ddfbe-ad84-450a-a568-107f78d1f41f,ISTJ,ENTJ,12,12,50,True
experiment_results_20260523_054658,74fca6a8-4e97-44df-9f97-1cda809b0256,ISTJ,INTP,98,98,50,True
experiment_results_20260523_055810,f813c423-27a2-4363-b1ed-1a50e6849d21,ISTJ,ENTP,30,14,50,True
experiment_results_20260523_060715,7d374915-4094-4480-a7bf-8ae11174325b,ISTJ,ENFP,97,101,50,True
experiment_results_20260523_061744,232043e8-2b69-46c7-9692-61806fc86cc7,ISTJ,ENFJ,70,46,50,True
experiment_results_20260523_062637,3db2d6cf-a612-4b41-9be9-f8c7a5f0f0f6,ISTJ,INFJ,98,98,50,True
experiment_results_20260523_063451,a68fbfa7-e4a5-42e0-9192-e4361f36c8cd,ISTJ,INFP,100,100,50,True
experiment_results_20260523_064421,84c73204-670a-4812-88af-909892e49851,ISTJ,ESTJ,8,8,50,True
experiment_results_20260523_065440,45b6dbbd-40aa-4451-9f68-0eb05d3a9e52,ISTJ,ESTP,19,7,50,True
experiment_results_20260523_070551,08498ba6-5ab1-4ea3-8f82-1bf65edb6504,ISTJ,ISTP,26,18,50,True
experiment_results_20260523_071524,5cdb3bfe-7a05-438a-999a-3027ad180225,ISTJ,ESFP,96,96,50,True
experiment_results_20260523_072357,a35d10dc-7b1b-456b-a661-63ada77fc74b,ISTJ,ESFJ,100,100,50,True
experiment_results_20260523_073235,1e1cce68-a6f6-40e3-bcbf-d4fb9a163c8b,ISTJ,ISFJ,100,100,50,True
experiment_results_20260523_074110,f6075244-5ed1-4d5f-98e1-d3fd3404cf5b,ISTJ,ISFP,100,100,50,True
experiment_results_20260523_075210,4088e8bf-277f-4b2a-b652-e670337c5b19,ISTP,INTJ,18,18,50,True
experiment_results_20260523_080241,40638d3c-6b92-42bb-99b3-0f6e02482df0,ISTP,ENTJ,93,97,50,True
experiment_results_20260523_081333,8636051b-b530-42fd-a61d-7ff734639a43,ISTP,INTP,97,93,50,True
experiment_results_20260523_082546,803ed865-e011-4b28-a3f3-492b627a8522,ISTP,ENTP,43,55,50,True
experiment_results_20260523_083613,bdceff81-ba11-428b-bf53-a69fce4f6151,ISTP,ENFP,98,90,50,True
experiment_results_20260523_084651,d5787761-71dd-4aa5-be4b-341f2d2fa211,ISTP,ENFJ,61,25,50,True
experiment_results_20260523_085622,9c4225b2-a18f-42e4-a1ec-7e9b9c369b1f,ISTP,INFJ,98,82,50,True
experiment_results_20260523_090609,5ffd3eaf-b64d-42f9-9bb1-e6b4a08e4030,ISTP,INFP,99,95,50,True
experiment_results_20260523_091602,8e51c918-5829-4bba-834c-d1ba13114426,ISTP,ESTJ,91,95,50,True
experiment_results_20260523_092709,25ff10f8-ee96-4912-963d-8acd3ddfc602,ISTP,ESTP,46,22,50,True
experiment_results_20260523_093652,e4b70b57-3e33-4641-a52d-bbfb5d345262,ISTP,ISTJ,95,99,50,True
experiment_results_20260523_094645,fdfdd9a2-57fb-44b8-9f36-02dd6d501913,ISTP,ESFP,98,90,50,True
experiment_results_20260523_095630,e66f92b1-c809-4be8-a91f-7b0d75308511,ISTP,ESFJ,99,95,50,True
experiment_results_20260523_100628,0cbad35e-e68f-4afe-beb4-669b23ddf35f,ISTP,ISFJ,98,90,50,True
experiment_results_20260523_101609,dbf52dec-7282-4187-817c-168dbf30cf38,ISTP,ISFP,100,84,50,True
experiment_results_20260523_102614,5ef77b54-5f58-4df3-8a18-690dc70a9f9c,ESFP,INTJ,92,100,50,True
experiment_results_20260523_103741,f66d8304-8de6-4005-8ced-3b4487acd3e6,ESFP,ENTJ,23,27,50,True
experiment_results_20260523_104809,70a996f8-691d-4972-b424-c66fb973cf1f,ESFP,INTP,96,96,50,True
experiment_results_20260523_110048,ab93b72c-4588-4de5-936f-268911fb6f2f,ESFP,ENTP,49,69,50,True
experiment_results_20260523_111245,16286220-dbfd-4094-8614-9e6f37dbaf99,ESFP,ENFP,98,74,50,True
experiment_results_20260523_112416,59cf4d01-3a7b-43aa-a3fb-022050fd974b,ESFP,ENFJ,92,60,50,True
experiment_results_20260523_113448,6b5bf9ca-c57f-4b16-93a7-824b415c85ef,ESFP,INFJ,99,95,50,True
experiment_results_20260523_114449,6f77776c-0bc7-4ade-b6e5-35589b307452,ESFP,INFP,101,97,50,True
experiment_results_20260523_115518,a2a92662-f54d-46c4-97bb-b9b73c355d4c,ESFP,ESTJ,96,88,50,True
experiment_results_20260523_120726,9250b0e1-0ebb-4d70-a78e-580cbfc139f4,ESFP,ESTP,25,61,50,True
experiment_results_20260523_121756,c03a3625-c13b-4dc5-8a86-531fee24e907,ESFP,ISTJ,98,98,50,True
experiment_results_20260523_122828,9f2aa569-dcd9-47a4-8aff-e77fbb39de71,ESFP,ISTP,95,99,50,True
experiment_results_20260523_123815,6720cee5-8673-4251-b246-b0182c43b28e,ESFP,ESFJ,100,92,50,True
experiment_results_20260523_124903,444b21b4-8083-4a9f-962d-0f7c2a43d59e,ESFP,ISFJ,95,75,50,True
experiment_results_20260523_125920,c2e75e06-0ab3-4c77-a857-e9fe0cfa288f,ESFP,ISFP,98,90,50,True
experiment_results_20260523_130923,fa705593-376f-49bb-b269-156ca6ac788a,ESFJ,INTJ,91,103,50,True
experiment_results_20260523_132036,51e7913f-2b70-4557-8623-2e8f3a0fc154,ESFJ,ENTJ,15,19,50,True
experiment_results_20260523_133123,4139539d-2c33-43f8-a3b8-39b203dd5d56,ESFJ,INTP,87,99,50,True
experiment_results_20260523_134309,802da8d8-cb82-49cc-be12-12e95bac9fe2,ESFJ,ENTP,44,44,50,True
experiment_results_20260523_135244,a5cc44b7-231a-487e-b6fa-dcf818019194,ESFJ,ENFP,100,100,50,True
experiment_results_20260523_140140,e154ec84-d5ce-4be4-8bbd-450b03352f7d,ESFJ,ENFJ,100,100,50,True
experiment_results_20260523_141046,99d3de37-d4df-4404-b6b6-d88e59cd3e52,ESFJ,INFJ,100,100,50,True
experiment_results_20260523_141947,68975e6b-5230-46c3-abc1-b8fcfef5cea1,ESFJ,INFP,100,100,50,True
experiment_results_20260523_142831,f359e0b4-25df-4af1-8316-aa485aef0480,ESFJ,ESTJ,100,100,50,True
experiment_results_20260523_143905,c05314c0-985a-474f-ace0-f214b668ee0e,ESFJ,ESTP,23,59,50,True
experiment_results_20260523_144834,9b2c9772-978e-4018-a41d-1952e71b7597,ESFJ,ISTJ,87,91,50,True
experiment_results_20260523_145837,e008bb72-aa13-4174-8507-5f1fcce5cdb2,ESFJ,ISTP,93,97,50,True
experiment_results_20260523_150917,4b779997-f0f3-41b0-8bd0-067225966607,ESFJ,ESFP,72,80,50,True
experiment_results_20260523_151815,9d1ff74e-be2c-43f0-8225-a578e8ff2f61,ESFJ,ISFJ,100,100,50,True
experiment_results_20260523_152719,2dc7c821-7e7c-4f5f-a6d1-b32f19e346ea,ESFJ,ISFP,100,100,50,True
experiment_results_20260523_153736,719892c5-898e-488c-864c-ab2dfae0aac3,ISFJ,INTJ,92,100,50,True
experiment_results_20260523_154829,8d97c3f2-0f49-4145-8331-e71fc996bc6a,ISFJ,ENTJ,50,66,50,True
experiment_results_20260523_155925,52c1adc9-20d7-48f8-a941-0d2a78de26dc,ISFJ,INTP,94,102,50,True
experiment_results_20260523_161233,a547edc3-38d2-4b21-aaef-d13349af2399,ISFJ,ENTP,38,46,50,True
experiment_results_20260523_162243,6c4c1fe9-d0c4-48e1-9fff-55fea973afb5,ISFJ,ENFP,100,100,50,True
experiment_results_20260523_163214,d80af210-641a-459b-ac23-dc2f525c10c4,ISFJ,ENFJ,100,100,50,True
experiment_results_20260523_164145,d6af1d5a-680b-4450-864a-5ee72209733c,ISFJ,INFJ,100,100,50,True
experiment_results_20260523_165207,c9d8631f-5b60-4cf9-b6b7-6650172bea6a,ISFJ,INFP,101,97,50,True
experiment_results_20260523_170126,c1ff7a10-fb7a-4e78-a27a-2c1fda90b5ee,ISFJ,ESTJ,100,100,50,True
experiment_results_20260523_171329,857355a9-b3de-489f-bfcb-76e00cc8f14b,ISFJ,ESTP,30,30,50,True
experiment_results_20260523_172244,e1bb999d-b0d2-4365-8acf-c3675f2174d5,ISFJ,ISTJ,100,100,50,True
experiment_results_20260523_173232,a91da2f1-8907-4db8-8b69-44c6e3a91f29,ISFJ,ISTP,92,100,50,True
